CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50613,עוז שטרן בעמ,103,העליה 1,NULL,העליה 1,עוז שטרן גיול חובות,בית שמש
50286,מרכז קרמיקה שפרעם בעמ,109,גבור גבור 45,20200,גבור גבור 45,מייל גיול,שפרעם
50221,טרבלסי שיווק בעמ (ק.גת),117,מושב בית הגדי 70,8538500,אדר 6,רפי,NULL
50552,עודה התקנות (חיוב מתקין),128,ת.ד 1570,NULL,ת.ד 1570,NULL,כפר קאסם
50061,מולטי ריטייל גרופ בעמ - נתניה-פולג סניף 75,123,גליס 9 צומת סגולה,NULL,גיבורי ישראל 5,מייל בירור הזמנות,פתח תקווה
50464,חזי מיכאל אאוטלט בעמ,109,התחיה 24,6816927,התחיה 24,1,תל אביב - יפו
50171,הום  סנטר תלפיות,114,טוליפמן 7,NULL,פייר קנינג א.ת תלפיות,מייל מנהל תלפיות,ראשון לציון
50146,הום סנטר חדרה,114,טוליפמן 7,NULL,רח' קומבה 29,NULL,ראשון לציון
50182,היחידה לאחזקה בעמ,109,ישראל  פולק 31,NULL,ישראל  פולק 31,רמי - מחסן,קרית גת
50257,מ.שאולוף ובניו בעמ (תלפיות),103,ת.ד. 5116,NULL,הסדנא 9 תלפיות,מייל גיול,ירושלים
70003,ארז סלע,107,הרב קוק 8,NULL,NULL,NULL,אופקים
50521,סופר קרמיק אשדוד,120,NULL,NULL,האורגים 2,NULL,NULL
50676,אמיר שרון (חיוב מתקין ),128,NULL,NULL,-,NULL,NULL
50287,מרצפות סלע בעמ,109,צומת סלע א.ת סגולה,49277,צומת סלע א.ת סגולה,מרצפות גיול,פתח תקווה
50343,פישל קרמיקה בעמ,109,שוקן 27,NULL,"אבולעפיה 37 (לרשום בוויז חניון אבולעפיה ת""א )",פישל גיול,תל אביב
70018,ברק יצחקי,107,האירוס 23,NULL,לא ידוע,אבישג,אליכין
50008,א.ד שפע קרמיקה בעמ,109,אסרף אברהם  רח ההגנה 7/6,2701611,-,מייל,קרית ביאליק
50329,עיצוב הקרמיקה והפסיפס,103,הבנאי 15,58853,הבנאי 15,NULL,חולון
50220,טרבלסי שיווק בעמ (נתיבות),117,מושב בית הגדי 70,8538500,מושב בית הגדי,אביבה,NULL
50672,גילי מנחם,117,אבנר 3,NULL,אבנר 3,NULL,חולון
50310,סופר קרמיק 2000בעמ בני ברק),120,נחשון 37,49222,-,NULL,פתח תקווה
50138,הום  סנטר אשקלון,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50511,אלעד קרמיקה בעמ,117,ניסים אלוני 17 דירה 903,NULL,הבנאים 10,NULL,תל אביב
50028,אור רום סחר קרמיקה וכלים סנטריים בעמ,117,ההדס 4,3060000,ההדס 4,גיול,אור עקיבא
50041,מולטי ריטייל גרופ בעמ - עפולה סניף 46,123,גליס 9 צומת סגולה,NULL,מרכז מסחרי עמק סנטר עפולה,מייל בירור הזמנות,פתח תקווה
50151,הום  סנטר כרמיאל,114,טוליפמן 7,NULL,החרושת 14 א.ת,אורית קלדנית 052-4697032,ראשון לציון
50440,א.ק אחזקות אמירם קטן (חיוב מתקין ),128,זלמן ארן 36/3 חולון,NULL,NULL,1,חולון
50108,בני פלח בעמ,109,בן צבי 35,NULL,בן צבי 35,תעודת משלוח,ראשון לציון
50131,סיני קרמיקה ועיצובים בעמ,109,בית הדפוס 16,NULL,בית הדפוס 16,דודי,גבעת שאול ירושלים
50134,הום  סנטר אופקים,114,טוליפמן 7,NULL,יהדות דרום אפריקה 14,NULL,ראשון לציון
50609,זלצמן גולד בעמ {גולד גלאס},109,ת.ד 2524,40300,קיבוץ ברקאי - מפעל פוליאון,איש קשר,כפר יונה
50708,גנאמי סברי,130,-,3010000,רחוב אלסראט,סברי,באקה אל-גרביה
50154,הום  סנטר  שדרות,114,טוליפמן 7,NULL,סמטת הפלדה 5 פרץ סנטר שדרות,NULL,ראשון לציון
50560,קרמיק דיפו (טירה),113,טירה,NULL,"""הלח""""י 4 B מתחם G 1""",NULL,NULL
50360,קורל סלמאן יהודה אחזקות,103,ת.ד 8564,56312,פטרסון 2 יד אליהו,NULL,יהוד
50178,הום סנטר ראשון לציון,114,טוליפמן 7,NULL,"הלח""""י 4 א.ת חדש",NULL,ראשון לציון
50314,סמיר טנוס בעמ,109,ת.ד 342,2510500,כפר מכר,מייל גיול,כפר מכר
50259,סטודיו מאיר קרמיקה,109,גרינבוים 41,NULL,גרינבוים 41,גיול חובות,תל אביב
50217,טיפה קרמיקה,103,נחום חת 5,3508504,נחום חת 5,NULL,חיפה
50071,מולטי ריטייל גרופ בעמ - תא סינרמה סניף 67,123,גליס 9 צומת סגולה,NULL,יגאל אלון 59,מייל בירור הזמנות,פתח תקווה
50423,דיאמונד {טופיק ואנג'לינה נג'ר},103,אבינרי יצחק 4,NULL,יצחק אבנרי 4,אנג'לינה ת.משלוח,יפו
50410,שיפוני מחסן קרמיקה,109,ת.ד 13377 -,NULL,פינקס 41,NULL,נתניה
60656,מייקל חמאתי,123,-,NULL,המגדלאור 15,NULL,-
50405,ש.ש. צנרת דרום - חברה למסחר בעמ,109,ת.ד 339,NULL,המרכבה 27,"צנרת תמ""ש יומיות",אשקלון
50636,אביטל וולסייל טרייד קומפני בעמ (לא פעיל),109,בן צבי 41,NULL,בן צבי 41,"אביטל תמ""ש יומיות",ראשון לציון
